koi_period,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disposition,koi_disposition_encoded
7.49018305,2.7297,1120.0,2.56,53.0,0.02,5103.0,4.562,0.787,15.599,0,0,0,0,CONFIRMED,0
36.2761238,4.7865,1570.0,3.03,45.5,0.035,5103.0,4.562,0.787,15.599,0,0,0,0,CONFIRMED,0
17.46087931,2.2641,812.0,2.32,22.6,0.594,5103.0,4.562,0.787,15.599,0,0,0,0,CONFIRMED,0
56.0560754,4.685,1630.0,1.94,27.4,0.018,3593.0,4.757,0.491,15.849,0,0,0,0,CONFIRMED,0
41.40831669,5.0264,22800.0,11.38,907.8,0.377,5522.0,4.586,0.747,15.196,0,0,0,0,CONFIRMED,0
39.74893077,7.3051,15200.0,14.21,561.1,0.881,6122.0,4.487,0.964,15.344,0,0,0,0,CANDIDATE,1
5.715425977,2.5242,908.0,2.47,59.4,0.348,5237.0,4.572,0.826,15.086,0,0,0,0,CONFIRMED,0
49.18394185,11.3364,1650.0,8.2,355.7,0.035,5626.0,3.907,2.057,12.654,0,0,0,0,CONFIRMED,0
20.0261412,1.611,421.0,2.28,10.7,0.957,5237.0,4.572,0.826,15.086,0,0,0,0,CONFIRMED,0
13.61014819,2.594,5730.0,19.02,184.1,1.081,5697.0,4.46,0.903,15.06,0,0,0,0,CANDIDATE,1
10.44331991,2.743,1160.0,2.66,51.7,0.23,4947.0,4.516,0.802,15.546,0,1,1,1,FALSE POSITIVE,2
2.237489571,1.8119,316.0,1.41,30.7,0.128,5265.0,4.58,0.81,15.001,0,0,0,0,CONFIRMED,0
5.851520671,3.11058,33000.0,14.62,1630.4,0.211,5532.0,4.53,0.806,15.33,0,1,0,0,FALSE POSITIVE,2
3.167893418,2.1814,781.0,2.62,64.8,0.026,5895.0,4.503,0.94,15.533,0,0,0,0,CONFIRMED,0
4.311780262,2.7251,1150.0,3.11,86.1,0.196,5527.0,4.484,0.927,15.604,0,0,0,0,CONFIRMED,0
20.0504494,4.556,841.0,2.69,37.8,0.383,5527.0,4.484,0.927,15.604,0,0,0,0,CONFIRMED,0
9.76734503,1.6585,569.0,2.67,21.1,0.9,5527.0,4.484,0.927,15.604,0,0,0,0,CONFIRMED,0
119.0207044,8.1405,7430.0,8.98,223.5,0.076,5453.0,4.342,1.062,15.085,0,0,0,0,CANDIDATE,1
190.3200468,15.284,1140.0,7.78,139.3,0.812,5626.0,3.907,2.057,12.654,0,0,0,0,CONFIRMED,0
2.861159894,1.8832,1010.0,4.37,58.3,0.965,6126.0,4.458,1.021,15.618,0,1,1,0,FALSE POSITIVE,2
26.44439337,3.9783,1840.0,3.91,88.0,0.03,5427.0,4.463,0.929,15.158,0,0,0,0,CONFIRMED,0
51.53997972,6.3994,3640.0,5.51,155.5,0.183,5427.0,4.463,0.929,15.158,0,0,0,0,CONFIRMED,0
5.902245782,2.9003,702.0,2.43,59.3,0.209,5427.0,4.463,0.929,15.158,0,0,0,0,CONFIRMED,0
2.382951591,1.8876,392.0,1.86,41.4,0.479,5427.0,4.463,0.929,15.158,0,0,0,0,CONFIRMED,0
21.02250608,4.1072,1770.0,3.07,62.4,0.036,5067.0,4.585,0.75,15.859,0,0,0,0,CONFIRMED,0
3.219814777,2.0642,488.0,1.69,30.5,0.06,5103.0,4.562,0.787,15.599,0,0,0,0,CONFIRMED,0
5.912273234,2.3254,961.0,1.73,62.8,0.17,4072.0,4.696,0.57,15.036,0,0,0,0,CONFIRMED,0
8.98581901,2.8606,881.0,1.65,51.8,0.008,4072.0,4.696,0.57,15.036,0,0,0,0,CONFIRMED,0
12.94066866,2.4845,42500.0,22.94,307.5,0.897,5875.0,4.572,0.809,15.215,0,0,0,0,CANDIDATE,1
20.5452375,2.517,219.0,2.41,18.5,0.95,5670.0,4.206,1.264,12.003,0,1,0,0,FALSE POSITIVE,2
33.60123371,4.4056,7430.0,8.46,247.9,0.67,5149.0,4.447,0.93,15.262,0,0,0,0,CONFIRMED,0
6.76652928,2.9004,451.0,1.97,29.2,0.429,5149.0,4.447,0.93,15.262,0,0,0,0,CONFIRMED,0
4.347288783,2.1024,452.0,2.36,39.7,0.025,5754.0,4.345,1.122,15.024,0,0,0,0,CONFIRMED,0
4.601811819,2.2607,756.0,2.35,60.8,0.567,4986.0,4.496,0.833,15.024,0,0,0,0,CONFIRMED,0
11.18719905,3.252,354.0,1.55,21.9,0.387,4986.0,4.496,0.833,15.024,0,0,0,0,CONFIRMED,0
4.220965778,3.0854,2260.0,2.62,157.8,0.705,3837.0,4.747,0.517,15.692,0,0,0,0,CANDIDATE,1
6.998099523,2.0488,20300.0,588.66,192.3,7.361,5612.0,4.566,0.829,15.877,0,1,0,0,FALSE POSITIVE,2
5.95489993,2.3892,1410.0,2.33,87.2,0.327,4261.0,4.641,0.633,15.019,0,0,0,0,CONFIRMED,0
12.03987488,2.7363,1250.0,2.18,57.6,0.286,4261.0,4.641,0.633,15.019,0,0,0,0,CONFIRMED,0
20.83762895,2.3734,439.0,1.42,14.9,0.706,4261.0,4.641,0.633,15.019,0,0,0,0,CONFIRMED,0
8.8111022,5.0683,401.0,63.66,76.8,1.223,6200.0,3.8,2.404,12.759,0,1,1,1,FALSE POSITIVE,2
23.58917143,5.073,1200.0,3.16,53.3,0.926,4919.0,4.566,0.721,15.316,0,0,0,0,CONFIRMED,0
6.481633073,3.784,299.0,2.54,125.6,0.833,5945.0,4.213,1.302,12.365,0,0,0,0,CONFIRMED,0
10.37168928,3.035,1250.0,3.2,64.5,0.537,5121.0,4.457,0.888,15.193,0,0,0,0,CONFIRMED,0
3.96996298,1.1757,299.0,1.78,15.0,0.836,5121.0,4.457,0.888,15.193,0,0,0,0,CONFIRMED,0
4.40841331,5.012,549.0,2.66,45.1,0.899,6007.0,4.457,0.961,15.662,0,0,0,0,CONFIRMED,0
7.9426176,6.703,1590.0,4.68,60.4,0.942,5811.0,4.521,0.926,15.26,0,1,1,1,FALSE POSITIVE,2
